         *         *         *         *         *         *         *     0.000         *         *         *         *    -0.401     0.712    1
    -2.000    -1.000     0.000    -1.000    -3.000    -2.000     1.000     0.000     1.000     1.000     1.000     1.000    -0.241     0.322  135
     2.000     1.000     3.000     1.000     0.000     2.000     2.000     2.000     2.000     1.000     2.000     1.000     1.025     0.322  136
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     2.000     0.000    -0.152     0.322  137
    -3.000    -3.000    -3.000    -3.000    -3.000    -3.000    -2.000    -2.000    -2.000    -3.000    -3.000    -3.000    -2.707     0.322  138
     1.000     1.000     2.000     0.000     0.000     1.000     1.000     2.000     1.000     1.000     2.000     1.000     0.651     0.322  139
     3.000    -3.000    -3.000    -3.000    -3.000    -3.000    -3.000     3.000     3.000     3.000    -2.000     3.000    -0.418     0.322  140
    -3.000    -1.000     1.000     2.000     1.000     0.000     3.000     2.000     1.000     0.000     0.000    -3.000    -0.215     0.322  141
     0.000     0.000     0.000     1.000     1.000     2.000     1.000     1.000     0.000     0.000     0.000     0.000    -0.112     0.322  142
    -3.000    -3.000    -3.000    -3.000    -3.000    -3.000    -3.000    -3.000    -3.000    -3.000    -3.000    -3.000    -2.998     0.322  143
     2.000     2.000     2.000     1.000     0.000     2.000     2.000     3.000     1.000     2.000     2.000     2.000     1.212     0.322  144
     0.000     0.000     1.000     1.000     1.000     0.000     1.000     1.000     0.000     1.000     1.000    -1.000    -0.020     0.322  145
     2.000     1.000     2.000     1.000     0.000     1.000     2.000     3.000     2.000     2.000     2.000     1.000     1.106     0.322  146
    -2.000    -2.000    -2.000    -2.000    -2.000    -2.000    -2.000    -2.000    -2.000    -2.000    -2.000    -2.000    -2.145     0.322  147
     3.000     0.000     0.000     3.000    -1.000    -3.000     0.000     1.000    -1.000    -1.000     3.000     2.000     0.249     0.322  148
     3.000     3.000     3.000     2.000     2.000     2.000     2.000     2.000     3.000     2.000     2.000     2.000     1.514     0.322  149
         *         *         *     2.000         *         *     1.000    -3.000    -3.000    -3.000     0.000    -2.000    -1.423     0.360  150
     3.000     2.000    -3.000     0.000     0.000     1.000     1.000     2.000     1.000     0.000     0.000     3.000     0.407     0.322  151
     0.000    -2.000     0.000    -2.000    -2.000    -2.000    -1.000    -1.000    -1.000     0.000     1.000     1.000    -0.781     0.322  152
     3.000    -2.000     3.000    -3.000    -3.000    -3.000     3.000     3.000     2.000     3.000     3.000     3.000     1.220     0.322  153
    -1.000    -1.000     0.000    -1.000    -1.000    -1.000     1.000     1.000     1.000     1.000     1.000    -1.000    -0.224     0.322  154
     2.000    -2.000     1.000    -2.000    -2.000    -2.000     1.000     1.000    -2.000     1.000     1.000     1.000    -0.233     0.322  155
     0.000     0.000     0.000     0.000     0.000     0.000    -3.000     0.000    -3.000    -3.000    -3.000    -3.000    -1.981     0.322  156
    -2.000    -2.000    -2.000    -1.000    -2.000    -1.000     0.000    -1.000    -2.000     0.000     0.000     0.000    -1.127     0.322  157
     2.000     2.000    -1.000     0.000     1.000     1.000     1.000     2.000     1.000     2.000     2.000     2.000     0.803     0.322  158
     2.000     3.000     2.000     1.000     2.000     3.000     2.000     1.000     2.000     2.000     1.000     0.000     0.900     0.322  159
     1.000     1.000     0.000     0.000    -2.000    -2.000     1.000     2.000     0.000     2.000     2.000     1.000     0.401     0.322  160
     3.000     3.000     3.000     1.000     0.000     3.000     3.000     2.000     2.000     2.000     3.000     2.000     1.662     0.322  161
     0.000     0.000     0.000         *         *         *     0.000     0.000     0.000     0.000    -2.000     0.000    -0.831     0.338  162
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000    -0.440     0.322  163
     2.000     2.000     2.000     0.000     0.000     0.000     1.000     1.000     0.000     1.000     2.000     2.000     0.639     0.322  164
     2.000     1.000     0.000     2.000     0.000     2.000     0.000     0.000    -3.000     2.000     2.000     1.000     0.146     0.322  165
     1.000    -3.000    -2.000    -3.000    -3.000    -3.000     1.000    -3.000    -3.000    -2.000    -1.000     1.000    -1.548     0.322  166
     2.000    -3.000     2.000    -2.000    -2.000    -2.000     1.000     1.000     1.000     1.000     3.000     2.000     0.405     0.322  167
     2.000     3.000     3.000     3.000     2.000     3.000     3.000     2.000     3.000     2.000     3.000     2.000     1.789     0.322  168
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000    -0.440     0.322  169
     3.000     3.000     3.000    -2.000    -1.000    -2.000     3.000     3.000     3.000     3.000     3.000     3.000     1.700     0.322  170
     3.000     3.000     3.000     3.000     3.000     3.000     1.000     3.000     3.000     3.000     3.000     3.000     1.898     0.322  172
     1.000     0.000    -1.000    -1.000     0.000     1.000     0.000     0.000     0.000     0.000     0.000    -1.000    -0.525     0.322  173
     3.000     2.000     2.000     2.000     3.000     1.000     2.000     1.000     2.000     1.000     1.000     1.000     0.883     0.322  174
     1.000    -3.000     1.000    -2.000    -3.000    -3.000     1.000     1.000     1.000     1.000     0.000     0.000    -0.371     0.322  175
     2.000     2.000     2.000     3.000     2.000     2.000     3.000     3.000     2.000     1.000     2.000     3.000     1.524     0.322  176
     1.000     0.000     0.000    -2.000     0.000    -2.000     1.000     1.000     1.000     1.000     1.000     1.000     0.071     0.322  177
    -1.000    -2.000     0.000    -2.000    -2.000    -1.000     0.000     0.000    -2.000     0.000     0.000    -2.000    -1.112     0.322  178
     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.413     0.322  179
     2.000     3.000     3.000     2.000     3.000     2.000     3.000     2.000     3.000     2.000     3.000     2.000     1.725     0.322  180
     1.000     0.000     1.000     2.000     2.000     1.000     3.000     3.000     3.000     3.000     3.000     2.000     1.517     0.322  181
     2.000    -3.000     2.000     3.000     3.000     3.000     3.000     3.000     3.000     3.000     3.000     3.000     1.663     0.322  182
     2.000     1.000     2.000     1.000     1.000     0.000     1.000     1.000     1.000     1.000     0.000     0.000     0.235     0.322  183
     1.000    -1.000     1.000     0.000     0.000     0.000     1.000     0.000     1.000     1.000     1.000     2.000     0.212     0.322  184
     2.000     1.000     2.000    -3.000    -3.000    -3.000     1.000     0.000    -1.000    -2.000     0.000     1.000    -0.469     0.322  185
     2.000     2.000     2.000     2.000    -2.000    -2.000     1.000     0.000     1.000     2.000     2.000     1.000     0.581     0.322  186
     0.000     0.000     0.000    -1.000     1.000     1.000     0.000     0.000     3.000     0.000     1.000     2.000     0.176     0.322  187
     1.000     2.000     1.000     2.000     0.000     1.000     2.000     3.000     2.000     2.000     3.000     3.000     1.434     0.322  188
     3.000     3.000     3.000    -3.000     3.000     3.000     3.000     3.000     3.000     3.000     3.000     3.000     1.908     0.322  189
    -1.000    -3.000    -1.000     0.000    -1.000    -1.000     1.000     0.000     0.000     1.000     0.000     0.000    -0.584     0.322  190
     2.000     0.000     0.000     1.000    -3.000    -3.000     0.000     2.000     2.000     1.000     2.000     3.000     0.563     0.322  191
     0.000    -3.000    -3.000    -3.000    -3.000    -3.000    -3.000     0.000     0.000     0.000    -3.000    -3.000    -2.067     0.322  192
